Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	42030975.58534889
10.002808000000002	5.4217625648659514e-98
10.005623	5.4217607157305506e-98
10.008433	5.4217620241295556e-98
10.011249	5.421762148916562e-98
10.014062000000003	5.421763185906162e-98
10.016879000000001	5.421763306320904e-98
10.019692	5.4217634186752765e-98
10.022513000000002	5.4217608895547e-98
10.025328	5.4217624968284135e-98
10.028148000000002	5.421762199863403e-98
10.030965000000002	5.421764606145689e-98
10.033788999999999	5.4217610559822366e-98
10.036607	5.421763450269041e-98
10.039430000000001	5.42176332520579e-98
10.042251	5.421761649145594e-98
10.045076	5.421761040301058e-98
10.047897	5.421763075264442e-98
10.050726000000001	5.421760495113468e-98
10.053548000000001	5.421763109102511e-98
10.056376	5.4217646210950515e-98
10.059201000000002	5.4217637747666784e-98
10.062032	5.421762509603514e-98
10.064858000000001	5.4217629227724385e-98
10.06769	5.421761633017471e-98
10.070519	5.421761233313244e-98
10.073346	5.4217637234461484e-98
10.076182000000001	5.421760075330997e-98
10.079012	5.421763715153775e-98
10.081848	5.4217630691482835e-98
10.084679999999999	5.421763037455217e-98
10.087516999999998	5.4217623686738175e-98
10.090351000000002	5.421763182587948e-98
10.09319	5.4217613922778195e-98
10.096026	5.4217617746936214e-98
10.098867000000002	5.421762880500185e-98
10.101703	5.421763617994304e-98
10.104545000000002	5.4217633987486605e-98
10.107382999999999	5.421763785691815e-98
10.110227	5.4217617727616417e-98
10.113067000000001	5.421763000135141e-98
10.115914	5.421761514578232e-98
10.118755	5.4217639607036294e-98
10.121602000000001	5.421761545088813e-98
10.124445000000001	5.4217636414534194e-98
10.127293000000002	5.4217625370337094e-98
10.130138	5.421763584514987e-98
10.132987	5.4217637006754613e-98
10.135835	5.4217632383097804e-98
10.138687	5.421761917636229e-98
10.141534	5.421764211100978e-98
10.144385000000002	5.4217624397630643e-98
10.147237	5.42176436843357e-98
10.150088	5.4217629351859605e-98
10.152944000000002	5.421762949466219e-98
10.155796	5.421762894145499e-98
10.158653000000001	5.421762842689976e-98
10.161507	5.4217649439831475e-98
10.164366000000001	5.4217613215536906e-98
10.167222	5.421763637615791e-98
10.170081	5.4217622795893504e-98
10.172939000000001	5.4217635421936425e-98
10.175801	5.4217626774031484e-98
10.178659000000001	5.4217637648009635e-98
10.181524000000001	5.42176136334191e-98
10.184384000000001	5.421765251687691e-98
10.187249000000001	5.421762683881523e-98
10.190111	5.421764178545164e-98
10.192978	5.4217631453707174e-98
10.195841000000001	5.4217639778144706e-98
10.19871	5.4217618952051093e-98
10.201574	5.421763986980305e-98
10.204445000000002	5.421762763299459e-98
10.207311	5.4217644659789376e-98
10.210184000000002	5.421763431655907e-98
10.213051	5.4217644668380786e-98
10.215920000000002	5.421763587269383e-98
10.218795000000002	5.4217623566568934e-98
