Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	41222820.01843006
10.002808000000002	5.1940767290219874e-98
10.005623	5.194074980046062e-98
10.008433	5.1940762203267e-98
10.011249	5.19407633558228e-98
10.014062000000003	5.194077315557328e-98
10.016879000000001	5.194077435989651e-98
10.019692	5.1940775592161005e-98
10.022513000000002	5.1940751437350795e-98
10.025328	5.194076678909023e-98
10.028148000000002	5.194076384806205e-98
10.030965000000002	5.1940787092222415e-98
10.033788999999999	5.1940752837843775e-98
10.036607	5.19407758193889e-98
10.039430000000001	5.1940774790795115e-98
10.042251	5.194075859242748e-98
10.045076	5.1940752846740544e-98
10.047897	5.194077221731381e-98
10.050726000000001	5.194074741247929e-98
10.053548000000001	5.1940772593826246e-98
10.056376	5.194078720615494e-98
10.059201000000002	5.194077911703596e-98
10.062032	5.1940766806769655e-98
10.064858000000001	5.194077084971148e-98
10.06769	5.194075839669134e-98
10.070519	5.1940754590381946e-98
10.073346	5.19407784887178e-98
10.076182000000001	5.1940743643882246e-98
10.079012	5.194077840502478e-98
10.081848	5.194077218992696e-98
10.084679999999999	5.1940771790023796e-98
10.087516999999998	5.194076534406329e-98
10.090351000000002	5.1940773153104236e-98
10.09319	5.194075615984646e-98
10.096026	5.1940759969196204e-98
10.098867000000002	5.194077026968138e-98
10.101703	5.194077753046022e-98
10.104545000000002	5.194077536023633e-98
10.107382999999999	5.1940779032300743e-98
10.110227	5.194075972838051e-98
10.113067000000001	5.1940771454758545e-98
10.115914	5.19407573583881e-98
10.118755	5.194078082568624e-98
10.121602000000001	5.194075776272999e-98
10.124445000000001	5.1940777782137545e-98
10.127293000000002	5.194076711515201e-98
10.130138	5.1940777155712114e-98
10.132987	5.194077837920961e-98
10.135835	5.1940773748496704e-98
10.138687	5.1940761214095693e-98
10.141534	5.194078311764658e-98
10.144385000000002	5.194076627762514e-98
10.147237	5.194078471076328e-98
10.150088	5.194077092353919e-98
10.152944000000002	5.1940771087575415e-98
10.155796	5.194077044623083e-98
10.158653000000001	5.19407700714457e-98
10.161507	5.194079007331421e-98
10.164366000000001	5.1940755374855665e-98
10.167222	5.1940777504988176e-98
10.170081	5.1940764695336446e-98
10.172939000000001	5.1940776698832055e-98
10.175801	5.194076843026807e-98
10.178659000000001	5.194077874710734e-98
10.181524000000001	5.194075588915726e-98
10.184384000000001	5.194079306342636e-98
10.187249000000001	5.194076850043127e-98
10.190111	5.1940782859591e-98
10.192978	5.194077291793661e-98
10.195841000000001	5.194078085733847e-98
10.19871	5.194076095823867e-98
10.201574	5.194078103220953e-98
10.204445000000002	5.194076924007868e-98
10.207311	5.1940785490978707e-98
10.210184000000002	5.194077581555356e-98
10.213051	5.194078559640705e-98
10.215920000000002	5.19407771262728e-98
10.218795000000002	5.1940765437044424e-98
10.221665000000002	5.194078244084438e-98
10.224542000000001	5.1940760470709455e-98
10.227413000000002	5.194080150370244e-98
10.230292	5.194077652269779e-98
10.233165	5.19407826417067e-98
10.236045	5.1940763204222787e-98
10.238919	5.1940776210069457e-98
10.241801000000002	5.194075872878019e-98
10.244678	5.1940769892324065e-98
10.24756	5.194076301536282e-98
10.250438	5.1940793007574457e-98
10.253323000000002	5.1940772198418e-98
10.256202000000002	5.1940789235868335e-98
10.259088	5.194076908279928e-98
10.261971000000003	5.1940768389677153e-98
10.264857000000001	5.1940764423169896e-98
10.267742000000002	5.194075356015066e-98
10.270629999999999	5.194076403788478e-98
10.273516	5.194077206820514e-98
10.276406000000001	5.1940772751495837e-98
10.279292	5.1940778813040806e-98
10.28218	5.1940772706303125e-98
10.285073	5.194076107837889e-98
10.287962	5.1940768130054855e-98
10.290856000000002	5.194076287521756e-98
10.293747	5.194077766266815e-98
10.296644	5.1940771360982554e-98
10.299536	5.1940780549949167e-98
10.302434	5.194076774204322e-98
10.305329	5.194076261392199e-98
10.308228000000002	5.1940750479768964e-98
10.311123	5.194076842549254e-98
10.314025	5.194077330164356e-98
10.316921	5.194077215820848e-98
10.319824	5.194077136138465e-98
10.322724000000001	5.194075921524863e-98
10.325629	5.194075430377099e-98
10.328529	5.1940758181458045e-98
10.331433000000002	5.194077370915876e-98
10.334337	5.194077275696325e-98
10.337244	5.194076223091741e-98
10.340149	5.194076739170728e-98
10.343058000000001	5.194076516383401e-98
10.345963	5.1940767947317234e-98
10.348874000000002	5.194075060101439e-98
10.351781	5.1940761868234247e-98
10.354694000000002	5.194075274757325e-98
10.357603000000001	5.1940773535407255e-98
10.360512	5.194078367210948e-98
10.363427000000001	5.194076652023216e-98
10.366339000000002	5.194076302792874e-98
10.369255	5.1940758484383495e-98
10.372167000000001	5.194076475807959e-98
10.375086000000001	5.194075274274199e-98
10.378001000000001	5.194077101684099e-98
10.380918999999999	5.19407669796859e-98
10.383836000000002	5.194077447206178e-98
10.386758	5.1940765506435135e-98
10.389675	5.1940771611533863e-98
10.392599	5.19407465543366e-98
10.395519	5.194075085651884e-98
10.398443	5.194075526232603e-98
10.401365000000002	5.194076218501661e-98
10.404291	5.1940769174593476e-98
10.407213	5.1940768269245194e-98
10.410142	5.194075463942741e-98
10.413065	5.1940766945932044e-98
10.415996	5.194074420934765e-98
10.418921000000001	5.1940764542674246e-98
10.421853	5.1940754286230884e-98
10.424781	5.1940773929232903e-98
10.427708	5.194077428355404e-98
10.430643	5.1940758846585235e-98
10.433573	5.1940770756513236e-98
10.436509000000001	5.194075544397486e-98
10.439441	5.1940757518971906e-98
10.442378	5.1940742746012844e-98
10.445311000000002	5.194076327449903e-98
10.448250000000002	5.194077029659213e-98
10.451184000000001	5.194077842980799e-98
10.454125000000001	5.1940763109717506e-98
10.457062	5.1940764507731954e-98
10.460004	5.1940755973273126e-98
10.462943	5.194075421873804e-98
10.465886000000001	5.1940757875722936e-98
10.468826000000002	5.1940780478627144e-98
10.471772999999999	5.1940761065478725e-98
10.474713999999999	5.194076602446121e-98
10.477661000000001	5.194075671124084e-98
10.480604000000001	5.194075779497825e-98
10.483552	5.1940754917516954e-98
10.486498000000001	5.194074913083661e-98
10.489448	5.194074318988866e-98
10.492395	5.194076826990529e-98
10.495347	5.194076528349054e-98
10.498295	5.1940759718112357e-98
10.501244	5.1940765468285924e-98
10.504199	5.1940744728806924e-98
10.507149	5.194076328356593e-98
10.510106	5.194075126210028e-98
10.513057	5.19407756617991e-98
10.516017000000002	5.194075057373965e-98
10.518970000000001	5.194076638509441e-98
10.521929	5.194076147051814e-98
10.524885000000001	5.194076333253184e-98
10.527847000000001	5.194074531766927e-98
10.530805	5.194074974907165e-98
10.533766	5.1940764082482333e-98
10.536727	5.19407622508867e-98
10.539691	5.194076320118763e-98
10.542651000000001	5.194076254684538e-98
10.545617	5.194075482025504e-98
10.548580000000001	5.194075922826874e-98
10.551548	5.194076015092929e-98
10.554511999999999	5.194078430885813e-98
10.557483000000001	5.194075318888364e-98
10.560448000000001	5.1940764993293676e-98
10.563419	5.1940756794979617e-98
10.566387	5.194075515637052e-98
10.569358000000001	5.194075723276493e-98
10.572328	5.194075282028759e-98
10.575299000000001	5.1940771104692094e-98
10.578274	5.1940758712904254e-98
10.581244000000002	5.194077252147055e-98
10.584222	5.194075897567147e-98
10.587195000000001	5.1940759491448614e-98
10.590174	5.194074694078503e-98
10.593149	5.194075670441163e-98
10.596128	5.1940766810694045e-98
10.599105999999999	5.1940769799870396e-98
10.602089	5.1940762885479564e-98
10.605066	5.1940767115547935e-98
10.608049000000001	5.194075861421528e-98
10.61103	5.1940765094185e-98
10.614016	5.194074934176153e-98
10.616998000000002	5.194074993726092e-98
10.619985	5.1940765700219945e-98
10.622969	5.1940769412168794e-98
10.625956	5.194077042576762e-98
10.628942	5.194075254379499e-98
