Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	41864407.235720105
10.002808000000002	5.602264467456244e-98
10.005623	5.602262572111435e-98
10.008433	5.602263917538433e-98
10.011249	5.6022640230451714e-98
10.014062000000003	5.602265110875291e-98
10.016879000000001	5.602265226110705e-98
10.019692	5.6022653373371873e-98
10.022513000000002	5.602262742593456e-98
10.025328	5.602264402782128e-98
10.028148000000002	5.60226406726615e-98
10.030965000000002	5.602266575828475e-98
10.033788999999999	5.602262893012381e-98
10.036607	5.602265403310971e-98
10.039430000000001	5.6022652395253917e-98
10.042251	5.602263520223234e-98
10.045076	5.6022629135012436e-98
10.047897	5.6022649718404735e-98
10.050726000000001	5.6022623373578275e-98
10.053548000000001	5.602265021632257e-98
10.056376	5.602266577067852e-98
10.059201000000002	5.602265704877224e-98
10.062032	5.602264391358781e-98
10.064858000000001	5.602264829758121e-98
10.06769	5.602263504906264e-98
10.070519	5.6022630807491886e-98
10.073346	5.602265688115037e-98
10.076182000000001	5.60226189332247e-98
10.079012	5.6022656719260746e-98
10.081848	5.602264970063214e-98
10.084679999999999	5.602264949685312e-98
10.087516999999998	5.6022642673888874e-98
10.090351000000002	5.602265111600776e-98
10.09319	5.6022632554237715e-98
10.096026	5.602263649525418e-98
10.098867000000002	5.6022647800138316e-98
10.101703	5.602265573220298e-98
10.104545000000002	5.6022653244627374e-98
10.107382999999999	5.6022657196550717e-98
10.110227	5.602263649679852e-98
10.113067000000001	5.602264933067144e-98
10.115914	5.602263378137327e-98
10.118755	5.6022659299013896e-98
10.121602000000001	5.6022634220677126e-98
10.124445000000001	5.6022656055808815e-98
10.127293000000002	5.602264459064546e-98
10.130138	5.602265512484423e-98
10.132987	5.602265665020076e-98
10.135835	5.602265182901983e-98
10.138687	5.602263815183887e-98
10.141534	5.6022661764461615e-98
10.144385000000002	5.602264337908633e-98
10.147237	5.602266316426602e-98
10.150088	5.602264859147443e-98
10.152944000000002	5.6022648659790417e-98
10.155796	5.6022648076710824e-98
10.158653000000001	5.602264760414552e-98
10.161507	5.602266942713725e-98
10.164366000000001	5.602263169275456e-98
10.167222	5.602265579901148e-98
10.170081	5.6022641838296514e-98
10.172939000000001	5.602265488562957e-98
10.175801	5.602264601156988e-98
10.178659000000001	5.6022657123471844e-98
10.181524000000001	5.6022632329367206e-98
10.184384000000001	5.602267232562216e-98
10.187249000000001	5.6022645972607334e-98
10.190111	5.602266142069826e-98
10.192978	5.602265063050559e-98
10.195841000000001	5.6022659242306286e-98
10.19871	5.602263772017719e-98
10.201574	5.602265940819396e-98
10.204445000000002	5.602264664636009e-98
10.207311	5.6022664246807956e-98
10.210184000000002	5.602265350533998e-98
10.213051	5.602266421490629e-98
10.215920000000002	5.6022655425701616e-98
10.218795000000002	5.602264259221568e-98
10.221665000000002	5.602266104046605e-98
10.224542000000001	5.6022637376463723e-98
10.227413000000002	5.6022681460488164e-98
10.230292	5.602265455316406e-98
10.233165	5.602266091631938e-98
10.236045	5.6022640198047454e-98
10.238919	5.6022654243038054e-98
10.241801000000002	5.6022635373169076e-98
10.244678	5.602264734007035e-98
10.24756	5.6022639991181795e-98
10.250438	5.602267225095088e-98
10.253323000000002	5.60226496618659e-98
10.256202000000002	5.602266825665638e-98
10.259088	5.6022646600099834e-98
10.261971000000003	5.602264563728609e-98
10.264857000000001	5.602264147491408e-98
10.267742000000002	5.6022629940615066e-98
10.270629999999999	5.602264104662677e-98
10.273516	5.602264962700684e-98
10.276406000000001	5.602265064082477e-98
10.279292	5.602265698391989e-98
10.28218	5.6022650414611446e-98
10.285073	5.602263798063574e-98
10.287962	5.6022645388383655e-98
10.290856000000002	5.602263975762565e-98
10.293747	5.6022655666030457e-98
10.296644	5.6022649106001725e-98
10.299536	5.602265878424855e-98
10.302434	5.602264504615044e-98
10.305329	5.602263970447974e-98
10.308228000000002	5.6022626282966165e-98
10.311123	5.6022645613932815e-98
10.314025	5.6022651027771404e-98
10.316921	5.602265004593661e-98
10.319824	5.602264876411447e-98
