Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	41708245.479721926
10.002808000000002	5.285993714244531e-98
10.005623	5.2859919167941033e-98
10.008433	5.2859931887257724e-98
10.011249	5.2859933139933546e-98
10.014062000000003	5.285994316036738e-98
10.016879000000001	5.285994437505816e-98
10.019692	5.2859945542746894e-98
10.022513000000002	5.285992087212451e-98
10.025328	5.285993652562657e-98
10.028148000000002	5.2859933657301005e-98
10.030965000000002	5.2859957142906556e-98
10.033788999999999	5.2859922467169687e-98
10.036607	5.2859945745851994e-98
10.039430000000001	5.285994467121858e-98
10.042251	5.285992824629543e-98
10.045076	5.2859922293974844e-98
10.047897	5.2859942185295876e-98
10.050726000000001	5.2859916924463855e-98
10.053548000000001	5.285994250229466e-98
10.056376	5.285995730923044e-98
10.059201000000002	5.285994906002544e-98
10.062032	5.2859936664625734e-98
10.064858000000001	5.2859940700257275e-98
10.06769	5.2859928069801833e-98
10.070519	5.285992420701519e-98
10.073346	5.285994842404736e-98
10.076182000000001	5.28599129543995e-98
10.079012	5.2859948358738154e-98
10.081848	5.2859942127674757e-98
10.084679999999999	5.285994175289631e-98
10.087516999999998	5.285993519746373e-98
10.090351000000002	5.2859943130160425e-98
10.09319	5.2859925751636533e-98
10.096026	5.285992953970208e-98
10.098867000000002	5.285994023300006e-98
10.101703	5.2859947429764205e-98
10.104545000000002	5.285994531491904e-98
10.107382999999999	5.2859949084209087e-98
10.110227	5.285992942861994e-98
10.113067000000001	5.285994134823592e-98
10.115914	5.2859926962850146e-98
10.118755	5.285995076998972e-98
10.121602000000001	5.285992727635032e-98
10.124445000000001	5.2859947650731763e-98
10.127293000000002	5.285993686109248e-98
10.130138	5.285994714115768e-98
10.132987	5.285994824376791e-98
10.135835	5.2859943666636765e-98
10.138687	5.2859930843840845e-98
10.141534	5.2859953196779486e-98
10.144385000000002	5.285993599645229e-98
10.147237	5.2859954815474475e-98
10.150088	5.285994076615434e-98
10.152944000000002	5.285994093398017e-98
10.155796	5.2859940353433614e-98
10.158653000000001	5.285993988486184e-98
10.161507	5.285996029608175e-98
10.164366000000001	5.2859925049381936e-98
10.167222	5.28599475678583e-98
10.170081	5.2859934390222373e-98
10.172939000000001	5.285994666358717e-98
10.175801	5.285993822465094e-98
10.178659000000001	5.2859948814850726e-98
10.181524000000001	5.2859925455346896e-98
10.184384000000001	5.285996337615474e-98
10.187249000000001	5.2859938314912504e-98
10.190111	5.285995290219835e-98
10.192978	5.2859942837815656e-98
10.195841000000001	5.285995093755153e-98
10.19871	5.2859930654182344e-98
10.201574	5.2859951045064727e-98
10.204445000000002	5.2859939114045076e-98
10.207311	5.28599556890062e-98
10.210184000000002	5.2859945708722066e-98
10.213051	5.285995574480006e-98
10.215920000000002	5.285994708455144e-98
10.218795000000002	5.285993515251252e-98
10.221665000000002	5.285995253515361e-98
10.224542000000001	5.285993020032477e-98
10.227413000000002	5.2859971861538316e-98
10.230292	5.285994653908379e-98
10.233165	5.285995267269984e-98
10.236045	5.2859932919535565e-98
10.238919	5.285994628281451e-98
10.241801000000002	5.2859928318306326e-98
10.244678	5.28599396190742e-98
10.24756	5.285993265289221e-98
10.250438	5.285996321860064e-98
10.253323000000002	5.285994200368096e-98
10.256202000000002	5.2859959416184905e-98
10.259088	5.2859938930673524e-98
10.261971000000003	5.2859938243289423e-98
10.264857000000001	5.285993430467752e-98
10.267742000000002	5.28599231832531e-98
10.270629999999999	5.2859933772185746e-98
10.273516	5.285994183766917e-98
10.276406000000001	5.285994266387297e-98
10.279292	5.285994875861866e-98
10.28218	5.285994250667595e-98
10.285073	5.285993075659139e-98
10.287962	5.2859937985905243e-98
10.290856000000002	5.285993250914118e-98
10.293747	5.285994756829654e-98
10.296644	5.2859941273290146e-98
10.299536	5.285995053899592e-98
10.302434	5.285993752468695e-98
10.305329	5.2859932293439266e-98
10.308228000000002	5.285991988338887e-98
10.311123	5.2859938223933164e-98
10.314025	5.2859943269714474e-98
10.316921	5.285994205712628e-98
10.319824	5.285994123399547e-98
10.322724000000001	5.28599289276678e-98
10.325629	5.2859923848121064e-98
10.328529	5.2859927780237136e-98
10.331433000000002	5.285994356254303e-98
10.334337	5.2859942696873814e-98
10.337244	5.285993201093103e-98
10.340149	5.2859937155879514e-98
10.343058000000001	5.2859934874591365e-98
10.345963	5.285993777415645e-98
10.348874000000002	5.285992015537969e-98
10.351781	5.2859931507072017e-98
10.354694000000002	5.285992221921698e-98
10.357603000000001	5.285994350624114e-98
10.360512	5.285995380639213e-98
10.363427000000001	5.285993628678497e-98
10.366339000000002	5.285993279132384e-98
10.369255	5.285992819181157e-98
10.372167000000001	5.2859934411919224e-98
10.375086000000001	5.2859922296906116e-98
10.378001000000001	5.285994086261829e-98
10.380918999999999	5.285993675843045e-98
10.383836000000002	5.285994440987987e-98
10.386758	5.2859935265986573e-98
10.389675	5.28599415396589e-98
10.392599	5.285991606551669e-98
10.395519	5.285992032416543e-98
10.398443	5.28599249385224e-98
10.401365000000002	5.2859931812248235e-98
10.404291	5.2859939004070685e-98
10.407213	5.285993807124962e-98
10.410142	5.2859924196858845e-98
10.413065	5.285993679953197e-98
10.415996	5.285991371901705e-98
10.418921000000001	5.2859934311117086e-98
10.421853	5.2859923879826934e-98
10.424781	5.285994387310738e-98
10.427708	5.28599441885941e-98
10.430643	5.2859928457338395e-98
10.433573	5.285994066422716e-98
10.436509000000001	5.2859924980189276e-98
10.439441	5.285992709865731e-98
10.442378	5.285991216429426e-98
10.445311000000002	5.285993302513413e-98
10.448250000000002	5.285994012481643e-98
10.451184000000001	5.2859948402813574e-98
10.454125000000001	5.2859932796696464e-98
10.457062	5.285993417090721e-98
10.460004	5.285992554572202e-98
10.462943	5.2859923786765777e-98
10.465886000000001	5.285992751735857e-98
10.468826000000002	5.285995052321299e-98
10.471772999999999	5.285993085039221e-98
10.474713999999999	5.285993591976217e-98
10.477661000000001	5.28599263087486e-98
10.480604000000001	5.285992736938862e-98
10.483552	5.2859924520866926e-98
10.486498000000001	5.2859918540407784e-98
10.489448	5.285991251123656e-98
10.492395	5.285993807359784e-98
10.495347	5.285993500215193e-98
10.498295	5.285992936693709e-98
10.501244	5.285993531421401e-98
10.504199	5.285991412069494e-98
10.507149	5.2859933050109247e-98
10.510106	5.285992083088272e-98
10.513057	5.285994564404272e-98
10.516017000000002	5.285992006442513e-98
10.518970000000001	5.285993619990492e-98
10.521929	5.285993121142572e-98
10.524885000000001	5.28599330862302e-98
10.527847000000001	5.2859914703215915e-98
10.530805	5.2859919280759304e-98
10.533766	5.2859933769829e-98
10.536727	5.285993192677326e-98
10.539691	5.2859932870086004e-98
10.542651000000001	5.285993224261937e-98
10.545617	5.285992441778276e-98
10.548580000000001	5.2859928784779737e-98
10.551548	5.2859929727343034e-98
10.554511999999999	5.285995443478807e-98
10.557483000000001	5.285992266282309e-98
10.560448000000001	5.2859934693269274e-98
10.563419	5.285992633797641e-98
10.566387	5.285992476114686e-98
10.569358000000001	5.2859926786877013e-98
10.572328	5.285992246250105e-98
10.575299000000001	5.285994092127025e-98
10.578274	5.285992833514458e-98
10.581244000000002	5.2859942515372746e-98
10.584222	5.285992858484327e-98
10.587195000000001	5.285992917520222e-98
10.590174	5.285991631937738e-98
10.593149	5.2859926288464525e-98
10.596128	5.285993657932344e-98
10.599105999999999	5.2859939742635656e-98
10.602089	5.285993252877447e-98
10.605066	5.285993683752508e-98
10.608049000000001	5.285992831265556e-98
10.61103	5.285993490727541e-98
10.614016	5.2859918820429996e-98
10.616998000000002	5.285991947255584e-98
10.619985	5.285993545510928e-98
10.622969	5.285993923283689e-98
10.625956	5.285994020895157e-98
10.628942	5.2859922043218284e-98
10.631931999999999	5.285991693459319e-98
10.634919	5.285993071876564e-98
10.637912	5.285991183205478e-98
10.640899	5.285994163810514e-98
10.643893000000002	5.285992359301434e-98
10.646884	5.285992450805727e-98
10.649874	5.285993798558061e-98
10.652871000000001	5.285991502469051e-98
10.655863000000002	5.285992468705658e-98
10.658861000000002	5.2859921264810904e-98
10.661855000000001	5.285994068147479e-98
10.664855000000001	5.285993337998703e-98
10.667851	5.2859930799487004e-98
10.670852000000002	5.285992499579792e-98
10.673849	5.2859935183506144e-98
10.676853000000001	5.285991633034222e-98
10.679852000000002	5.285992933649911e-98
10.682858	5.2859913281201506e-98
10.685858000000001	5.285995249572271e-98
10.688865	5.28599311225651e-98
10.691867	5.285993562567076e-98
10.694876	5.285991699763119e-98
10.697880000000001	5.285992499661025e-98
10.700890000000001	5.2859913772866516e-98
10.703895000000001	5.285992839473471e-98
10.706907000000001	5.28599138952081e-98
10.709915000000002	5.2859940706358003e-98
10.712928	5.285993877870808e-98
10.715937000000002	5.2859934772740525e-98
10.718952999999999	5.2859914407497836e-98
10.721964	5.285992578087052e-98
10.724975	5.2859952392189564e-98
10.727993	5.2859924554525256e-98
10.731006	5.285994777641906e-98
10.734026	5.2859929221472326e-98
10.737041000000001	5.285993721848927e-98
10.740060999999999	5.2859929717514726e-98
10.74308	5.2859921266794114e-98
10.746102	5.285992303854242e-98
10.74912	5.285993399840207e-98
10.752145	5.285993582472955e-98
10.755165000000002	5.2859938090943023e-98
10.758191	5.285993446543413e-98
10.761214000000002	5.285993012909135e-98
10.764242000000003	5.285991626170862e-98
10.767266	5.2859938272851435e-98
10.770295000000003	5.2859918934351336e-98
10.773319	5.2859951133471534e-98
10.776351	5.285993834786108e-98
10.779378000000001	5.28599327818581e-98
10.782411	5.2859920434454835e-98
10.785440000000001	5.285993050926818e-98
10.788475000000002	5.2859915290148586e-98
10.791506	5.2859922482296606e-98
10.794537	5.2859938100166767e-98
10.797573	5.28599506994794e-98
10.800607	5.285993450336732e-98
10.803647	5.285991208029527e-98
10.806681000000001	5.285992502850887e-98
10.809721	5.285992594845843e-98
10.812757000000001	5.2859955125396595e-98
10.815801	5.28599077974804e-98
10.818839	5.2859934709700376e-98
10.821883	5.2859923114963467e-98
10.824922	5.2859931181636996e-98
10.827968000000002	5.2859917295014415e-98
10.831010000000001	5.285992507093349e-98
10.834057000000001	5.285992375361407e-98
10.8371	5.285993902875101e-98
10.84015	5.28599315469016e-98
10.843195000000001	5.285993791670418e-98
10.846246	5.285992473250572e-98
10.849293000000001	5.285992805776896e-98
10.852345	5.285991569288842e-98
10.855393000000001	5.285993881025517e-98
10.858448000000001	5.285992021190906e-98
10.861498000000001	5.285994020900818e-98
10.864554000000002	5.285993481141573e-98
10.867606	5.28599268833421e-98
10.870664000000001	5.285991324140766e-98
10.873717000000001	5.285993090179389e-98
10.876772000000003	5.2859930715557694e-98
10.879833	5.2859913010715225e-98
10.882889	5.285992666505578e-98
10.885950000000001	5.285993107873542e-98
10.889008	5.285993560031669e-98
10.892071000000001	5.2859938319409525e-98
10.895133000000001	5.2859939106983766e-98
10.898198	5.285991382576732e-98
10.901258	5.2859938602924894e-98
10.904325	5.285994128543095e-98
10.907389000000002	5.285993837341245e-98
10.910458	5.285992612842092e-98
10.913523000000001	5.2859929592258004e-98
10.916593	5.2859930300263244e-98
10.919661	5.285991502779413e-98
10.922732000000002	5.285992351221567e-98
10.925801	5.28599275925914e-98
10.928875	5.2859923803111876e-98
10.931944000000001	5.28599388606735e-98
10.935021	5.285990969611481e-98
10.938093000000002	5.285991816641608e-98
10.941170000000001	5.285991878865014e-98
10.944243	5.2859940684625574e-98
10.947317000000002	5.285995519407762e-98
10.950397	5.285993910390754e-98
10.953473	5.2859932131779774e-98
10.956556	5.285992241841639e-98
10.959634000000001	5.2859925712158353e-98
10.962717000000001	5.285991378654276e-98
10.965796	5.285992973506839e-98
10.968882	5.285993128040148e-98
10.971963	5.285993871881553e-98
10.975051	5.2859924545857206e-98
10.978133000000001	5.2859939557962825e-98
10.981222	5.285992003139301e-98
10.984307000000001	5.285994113968788e-98
10.987397000000001	5.285992269215651e-98
10.990484000000002	5.28599345825402e-98
10.993576	5.28599325968517e-98
10.996664	5.285993337530631e-98
10.999759000000001	5.285991245797e-98
11.002847000000003	5.285993600269171e-98
11.005943	5.285992973350216e-98
11.009034999999999	5.2859938359791164e-98
11.012132999999999	5.285993555656534e-98
11.015226	5.2859938650377834e-98
11.018326000000002	5.285992654226962e-98
11.021421000000002	5.2859927476046005e-98
11.024517000000001	5.2859932963152904e-98
11.027619	5.285992063666147e-98
11.030717	5.285994301584011e-98
11.03382	5.285992517805656e-98
11.036919000000001	5.2859941387639524e-98
11.040025	5.2859930874314424e-98
11.043126	5.285993269263989e-98
11.046234	5.285991344137498e-98
11.049335	5.2859944063403866e-98
11.052446000000002	5.2859931318686654e-98
11.055549	5.285995323166978e-98
11.058660000000001	5.2859945171005514e-98
11.061767000000001	5.28599328991004e-98
11.06488	5.2859928112254634e-98
11.067987000000002	5.285993958359681e-98
11.071102	5.2859919622136185e-98
11.074211000000002	5.285994066988312e-98
11.077328000000001	5.285993802351002e-98
11.080439	5.2859943953510585e-98
11.083557	5.285993571782041e-98
11.08667	5.285993912421782e-98
11.089789000000001	5.285993154432482e-98
11.092905	5.2859936305428884e-98
11.096026000000002	5.285993261864123e-98
11.099144000000003	5.2859934869042036e-98
11.102261	5.2859947843178346e-98
11.105384999999998	5.285994101812987e-98
11.108502999999999	5.2859949063433256e-98
11.111630000000002	5.285992385501858e-98
11.114751	5.285993943019122e-98
11.117879000000002	5.285993373267438e-98
