Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	40937272.97696468
10.002808000000002	5.1287692988725216e-98
10.005623	5.1287675885990824e-98
10.008433	5.1287688040322504e-98
10.011249	5.12876891023567e-98
10.014062000000003	5.128769873381824e-98
10.016879000000001	5.128769993343663e-98
10.019692	5.128770123258759e-98
10.022513000000002	5.128767746574932e-98
10.025328	5.128769259576814e-98
10.028148000000002	5.128768957275014e-98
10.030965000000002	5.1287712686674896e-98
10.033788999999999	5.12876786867306e-98
10.036607	5.1287701483798396e-98
10.039430000000001	5.128770049468494e-98
10.042251	5.1287684442672167e-98
10.045076	5.1287678869320576e-98
10.047897	5.128769782662776e-98
10.050726000000001	5.1287673349924696e-98
10.053548000000001	5.1287698261516624e-98
10.056376	5.128771275113374e-98
10.059201000000002	5.1287704779875005e-98
10.062032	5.1287692497824866e-98
10.064858000000001	5.128769656513561e-98
10.06769	5.128768422774274e-98
10.070519	5.128768045891481e-98
10.073346	5.128770415615813e-98
10.076182000000001	5.128766975724376e-98
10.079012	5.1287704054572926e-98
10.081848	5.1287697827956504e-98
10.084679999999999	5.128769740237187e-98
10.087516999999998	5.128769103307349e-98
10.090351000000002	5.1287698757791316e-98
10.09319	5.1287682058825036e-98
10.096026	5.128768590486504e-98
10.098867000000002	5.128769587506173e-98
10.101703	5.128770322813348e-98
10.104545000000002	5.128770099575789e-98
10.107382999999999	5.1287704590902744e-98
10.110227	5.1287685539290336e-98
10.113067000000001	5.128769713184386e-98
10.115914	5.128768325043937e-98
10.118755	5.128770649462475e-98
10.121602000000001	5.128768374315403e-98
10.124445000000001	5.12877035101807e-98
10.127293000000002	5.128769291426455e-98
10.130138	5.1287702769622294e-98
10.132987	5.128770411367101e-98
10.135835	5.1287699411932286e-98
10.138687	5.1287687098626925e-98
10.141534	5.128770866786523e-98
10.144385000000002	5.1287692098990774e-98
10.147237	5.1287710243444136e-98
10.150088	5.128769664684426e-98
10.152944000000002	5.1287696807972314e-98
10.155796	5.128769610588681e-98
10.158653000000001	5.128769581893023e-98
10.161507	5.128771551648431e-98
10.164366000000001	5.1287681191553476e-98
10.167222	5.128770304656406e-98
10.170081	5.128769053272526e-98
10.172939000000001	5.128770233050804e-98
10.175801	5.128769418884181e-98
10.178659000000001	5.1287704289380726e-98
10.181524000000001	5.1287681811385384e-98
10.184384000000001	5.12877184336706e-98
10.187249000000001	5.1287694240139775e-98
10.190111	5.128770844353243e-98
10.192978	5.128769857613974e-98
10.195841000000001	5.128770639680053e-98
10.19871	5.128768677853751e-98
10.201574	5.128770663666116e-98
10.204445000000002	5.1287694926240906e-98
10.207311	5.1287710938024167e-98
10.210184000000002	5.128770151169852e-98
10.213051	5.128771109124101e-98
10.215920000000002	5.1287702765964527e-98
10.218795000000002	5.1287691257996374e-98
10.221665000000002	5.1287707973677467e-98
10.224542000000001	5.128768625679883e-98
10.227413000000002	5.12877268672488e-98
10.230292	5.128770210437715e-98
10.233165	5.128770823578664e-98
10.236045	5.128768901571468e-98
10.238919	5.128770173665569e-98
10.241801000000002	5.1287684640972326e-98
10.244678	5.1287695721688384e-98
10.24756	5.1287688900221594e-98
10.250438	5.128771847456845e-98
10.253323000000002	5.128769796283061e-98
10.256202000000002	5.128771471591895e-98
10.259088	5.128769479316793e-98
10.261971000000003	5.1287694091590994e-98
10.264857000000001	5.1287690081412444e-98
10.267742000000002	5.128767941808081e-98
10.270629999999999	5.128768983485565e-98
10.273516	5.128769786619772e-98
10.276406000000001	5.128769841613709e-98
10.279292	5.128770447210329e-98
10.28218	5.12876984775648e-98
10.285073	5.128768691610435e-98
10.287962	5.1287693828717134e-98
10.290856000000002	5.128768876291194e-98
10.293747	5.1287703354878926e-98
10.296644	5.128769701970652e-98
10.299536	5.128770617503093e-98
10.302434	5.1287693508850694e-98
10.305329	5.12876884570108e-98
10.308228000000002	5.128767653375723e-98
10.311123	5.1287694180175966e-98
10.314025	5.1287698915538775e-98
10.316921	5.128769783313243e-98
10.319824	5.1287697057967904e-98
10.322724000000001	5.128768501233494e-98
10.325629	5.128768024000464e-98
10.328529	5.128768408247075e-98
10.331433000000002	5.1287699434180555e-98
10.334337	5.1287698395370285e-98
10.337244	5.128768797651791e-98
10.340149	5.1287693174622827e-98
10.343058000000001	5.1287690988102774e-98
10.345963	5.1287693672860185e-98
10.348874000000002	5.128767651176339e-98
10.351781	5.1287687746908984e-98
10.354694000000002	5.1287678746448067e-98
