Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	40817320.28619791
10.002808000000002	5.085314416776246e-98
10.005623	5.0853127372842116e-98
10.008433	5.085313933399621e-98
10.011249	5.085314031291818e-98
10.014062000000003	5.08531498188382e-98
10.016879000000001	5.085315101846711e-98
10.019692	5.085315238691467e-98
10.022513000000002	5.085312890358652e-98
10.025328	5.0853143877439014e-98
10.028148000000002	5.085314076406401e-98
10.030965000000002	5.0853163840089904e-98
10.033788999999999	5.085312995640046e-98
10.036607	5.085315266216055e-98
10.039430000000001	5.0853151707305934e-98
10.042251	5.085313573542825e-98
10.045076	5.0853130306868076e-98
10.047897	5.085314893812026e-98
10.050726000000001	5.085312468464241e-98
10.053548000000001	5.0853149430844354e-98
10.056376	5.085316385717219e-98
10.059201000000002	5.085315596919721e-98
10.062032	5.0853143667833606e-98
10.064858000000001	5.085314777399026e-98
10.06769	5.0853135501211265e-98
10.070519	5.0853131754200304e-98
10.073346	5.0853155347549235e-98
10.076182000000001	5.085312124769395e-98
10.079012	5.0853155228357695e-98
10.081848	5.0853148967093956e-98
10.084679999999999	5.0853148515179557e-98
10.087516999999998	5.085314219557151e-98
10.090351000000002	5.0853149868353606e-98
10.09319	5.085313338946953e-98
10.096026	5.0853137285377997e-98
10.098867000000002	5.085314697538365e-98
10.101703	5.085315444511352e-98
10.104545000000002	5.085315214446758e-98
10.107382999999999	5.085315567917753e-98
10.110227	5.0853136798334376e-98
10.113067000000001	5.085314830594011e-98
10.115914	5.0853134578924806e-98
10.118755	5.085315769630618e-98
10.121602000000001	5.085313515856621e-98
10.124445000000001	5.0853154757460244e-98
10.127293000000002	5.0853144189858605e-98
10.130138	5.0853153904242116e-98
10.132987	5.0853155369411853e-98
10.135835	5.085315058151749e-98
10.138687	5.085313843443476e-98
10.141534	5.085315976349704e-98
10.144385000000002	5.0853143392919516e-98
10.147237	5.085316132815676e-98
10.150088	5.0853147863593785e-98
10.152944000000002	5.0853148022532304e-98
10.155796	5.085314725932465e-98
10.158653000000001	5.0853147055820814e-98
10.161507	5.085316653499127e-98
10.164366000000001	5.08531324397178e-98
10.167222	5.085315411260706e-98
10.170081	5.0853141836150515e-98
10.172939000000001	5.085315348056665e-98
10.175801	5.0853145430238313e-98
10.178659000000001	5.085315536079767e-98
10.181524000000001	5.085313316347221e-98
10.184384000000001	5.0853169393021473e-98
10.187249000000001	5.085314546357182e-98
10.190111	5.085315957077497e-98
10.192978	5.085314973752606e-98
10.195841000000001	5.0853157473485476e-98
10.19871	5.085313805130792e-98
10.201574	5.0853157776808784e-98
10.204445000000002	5.085314610072853e-98
10.207311	5.0853161942937394e-98
10.210184000000002	5.085315272071293e-98
10.213051	5.085316214273235e-98
10.215920000000002	5.085315392538627e-98
