Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	41207293.15999085
10.002808000000002	5.049494790021399e-98
10.005623	5.049493168400549e-98
10.008433	5.049494330275615e-98
10.011249	5.049494406957182e-98
10.014062000000003	5.049495338320403e-98
10.016879000000001	5.049495460261859e-98
10.019692	5.04949561864187e-98
10.022513000000002	5.0494933103094806e-98
10.025328	5.0494947893159105e-98
10.028148000000002	5.0494944473809426e-98
10.030965000000002	5.0494967832796677e-98
10.033788999999999	5.0494933700961395e-98
10.036607	5.0494956538246254e-98
10.039430000000001	5.049495565828038e-98
10.042251	5.0494939645965426e-98
10.045076	5.0494934529382215e-98
10.047897	5.0494952558768676e-98
10.050726000000001	5.0494928522466306e-98
10.053548000000001	5.049495322521206e-98
10.056376	5.049496771647572e-98
10.059201000000002	5.049495993013077e-98
10.062032	5.049494736563485e-98
10.064858000000001	5.0494951651535596e-98
10.06769	5.0494939352099615e-98
10.070519	5.049493560278216e-98
10.073346	5.049495930570408e-98
10.076182000000001	5.049492546343019e-98
10.079012	5.049495913300459e-98
10.081848	5.049495267077192e-98
10.084679999999999	5.049495213458695e-98
10.087516999999998	5.0494945850160016e-98
10.090351000000002	5.049495350664492e-98
10.09319	5.049493736401561e-98
10.096026	5.049494146286498e-98
10.098867000000002	5.049495053566263e-98
10.101703	5.049495845970789e-98
10.104545000000002	5.0494955929236787e-98
10.107382999999999	5.0494959349931716e-98
10.110227	5.0494940632676086e-98
10.113067000000001	5.049495209472863e-98
10.115914	5.049493856678007e-98
10.118755	5.049496172293233e-98
10.121602000000001	5.049493939898965e-98
10.124445000000001	5.049495885767682e-98
10.127293000000002	5.049494819595016e-98
10.130138	5.049495767846255e-98
10.132987	5.04949595038091e-98
10.135835	5.049495439940374e-98
10.138687	5.0494942510575173e-98
10.141534	5.049496352531358e-98
10.144385000000002	5.049494743219176e-98
10.147237	5.049496508137581e-98
10.150088	5.049495176507481e-98
10.152944000000002	5.049495191791688e-98
10.155796	5.0494950975142705e-98
10.158653000000001	5.049495100020103e-98
10.161507	5.04949701976746e-98
10.164366000000001	5.0494936167044455e-98
10.167222	5.0494957697199394e-98
10.170081	5.049494587756946e-98
10.172939000000001	5.049495728963351e-98
10.175801	5.049494936163106e-98
10.178659000000001	5.049495897909085e-98
10.181524000000001	5.049493719875998e-98
10.184384000000001	5.049497293977446e-98
10.187249000000001	5.049494934094116e-98
10.190111	5.049496341835265e-98
10.192978	5.049495351294905e-98
10.195841000000001	5.049496114588233e-98
10.19871	5.049494194441265e-98
10.201574	5.049496163013095e-98
10.204445000000002	5.0494949853307975e-98
10.207311	5.0494965488291864e-98
10.210184000000002	5.049495667922891e-98
10.213051	5.049496582153486e-98
10.215920000000002	5.0494957770460654e-98
10.218795000000002	5.049494656529058e-98
10.221665000000002	5.0494962746896693e-98
