Wavelength (nm),	Flux (erg / (nm cm2 s))
10.0	40837195.3123004
10.002808000000002	5.060130307498587e-98
10.005623	5.0601286522639384e-98
10.008433	5.0601298336302714e-98
10.011249	5.0601299237858146e-98
10.014062000000003	5.060130865371116e-98
10.016879000000001	5.06013098573547e-98
10.019692	5.060131129760082e-98
10.022513000000002	5.0601288010940767e-98
10.025328	5.060130288326689e-98
10.028148000000002	5.0601299671836195e-98
10.030965000000002	5.060132278812272e-98
10.033788999999999	5.060128890411562e-98
10.036607	5.0601311597083963e-98
10.039430000000001	5.0601310672279366e-98
10.042251	5.060129472483218e-98
10.045076	5.060128941862551e-98
10.047897	5.0601307795736585e-98
10.050726000000001	5.060128367786854e-98
10.053548000000001	5.06013083462163e-98
10.056376	5.0601322759298006e-98
10.059201000000002	5.060131492579299e-98
10.062032	5.060130256462889e-98
10.064858000000001	5.0601306722179943e-98
10.06769	5.060129447112087e-98
10.070519	5.060129073276859e-98
10.073346	5.060131430407716e-98
10.076182000000001	5.0601280380536584e-98
10.079012	5.0601314167406326e-98
10.081848	5.0601307851627694e-98
10.084679999999999	5.0601307372660014e-98
10.087516999999998	5.060130108016545e-98
10.090351000000002	5.060130872817263e-98
10.09319	5.060129240780124e-98
10.096026	5.060129636509615e-98
10.098867000000002	5.060130581561068e-98
10.101703	5.060131342345508e-98
10.104545000000002	5.060131104889451e-98
10.107382999999999	5.060131453677052e-98
10.110227	5.060129575857951e-98
10.113067000000001	5.06013072221834e-98
10.115914	5.060129359913233e-98
10.118755	5.060131667065793e-98
10.121602000000001	5.0601294265043667e-98
10.124445000000001	5.060131376624056e-98
10.127293000000002	5.060130319083372e-98
10.130138	5.060131280087352e-98
10.132987	5.060131438844391e-98
10.135835	5.060130950098028e-98
10.138687	5.0601297474616374e-98
10.141534	5.0601318641861477e-98
10.144385000000002	5.0601302409022446e-98
10.147237	5.0601320201150526e-98
10.150088	5.060130681974205e-98
10.152944000000002	5.0601306977086865e-98
10.155796	5.0601306152031747e-98
10.158653000000001	5.0601306028813265e-98
10.161507	5.0601325361134106e-98
10.164366000000001	5.060129137485815e-98
10.167222	5.060131294340175e-98
10.170081	5.0601300856270206e-98
10.172939000000001	5.060131239076226e-98
10.175801	5.0601304402175994e-98
10.178659000000001	5.060131420097267e-98
10.181524000000001	5.060129220185258e-98
10.184384000000001	5.060132817131227e-98
10.187249000000001	5.060130441819191e-98
10.190111	5.060131847916436e-98
10.192978	5.0601308646217095e-98
10.195841000000001	5.060131632582373e-98
10.19871	5.060129702905265e-98
10.201574	5.0601316691730086e-98
10.204445000000002	5.0601305009990366e-98
10.207311	5.060132074056316e-98
10.210184000000002	5.0601311685570127e-98
10.213051	5.060132098621444e-98
10.215920000000002	5.0601312846150706e-98
10.218795000000002	5.060130155815479e-98
10.221665000000002	5.0601317907147154e-98
10.224542000000001	5.0601296436692124e-98
10.227413000000002	5.060133668329598e-98
10.230292	5.060131206721448e-98
10.233165	5.060131828843284e-98
10.236045	5.0601299273673965e-98
